Mercatox,ETH/BTC,"$1,293,675",LTC/BTC,"$815,354",DGTX/ETH,"$630,857",TRX/ETH,"$412,856",VERI/ETH,"$412,837",0xBTC/ETH,"$295,529",BCH/BTC,"$285,424",EOS/ETH,"$195,845",EOS/BTC,"$191,650",VERI/BTC,"$187,238"
Liqui,BTC/USDT,"$563,554",ETH/BTC,"$440,660",ETH/USDT,"$401,014",TRX/BTC,"$380,291",BMC/BTC,"$250,866",TRX/USDT,"$244,436",GNT/BTC,"$158,690",TRX/ETH,"$123,878",KNC/BTC,"$84,158",KNC/ETH,"$82,666"
CEX.IO,BTC/USD,"$1,609,279",BTC/EUR,"$921,524",XLM/USD,"$742,769",XLM/BTC,"$407,258",ETH/USD,"$383,641",BCH/USD,"$361,593",XRP/USD,"$347,887",XLM/EUR,"$334,803",BCH/BTC,"$198,155",BCH/EUR,"$175,543"
itBit,BTC/USD,"$5,615,269"
CoinBene,TMTG/BTC,"$900,777",PAL/ETH,"$707,474",EOS/USDT,"$641,038",ETH/USDT,"$545,711",ALI/ETH,"$293,720",MXM/ETH,"$220,997",ETH/BTC,"$206,163",KNT/ETH,"$170,043",UTNP/BTC,"$144,300",BTC/USDT,"$141,443"
Bitrue,LINK/ETH,"$875,433",BTC/USDT,"$517,479",XRP/USDT,"$350,271",TRX/USDT,"$309,342",XRP/BTC,"$207,710",ETH/BTC,"$190,533",BCH/USDT,"$187,063",BCH/BTC,"$186,287",ETC/XRP,"$186,027",TRX/BTC,"$177,836"
LakeBTC,BTC/USD,"$3,972,716",BTC/JPY,"$337,449",BTC/EUR,"$311,716",BTC/CAD,"$76,702",BTC/GBP,"$53,256",BTC/AUD,"$24,949",BTC/SGD,"$13,707",BTC/CHF,"$960",XRP/BTC,"$?",LTC/BTC,"$?"
GOPAX,BTC/KRW,"$2,133,311",XRP/KRW,"$977,802",ETH/KRW,"$708,012",EOS/KRW,"$375,074",XLM/KRW,"$171,888",MOC/KRW,"$110,777",IOST/KRW,"$55,259",BCH/KRW,"$39,682",ZIL/KRW,"$21,470",ETH/BTC,"$10,454"
CHAOEX,BTC/USDT,"$2,968,392",BCH/USDT,"$301,296",BCH/BTC,"$239,260",ETH/USDT,"$189,355",ETH/BTC,"$130,563",SKY/BTC,"$129,512",SAC/ETH,"$117,066",REP/ETH,"$73,454",NULS/ETH,"$70,851",NULS/BTC,"$60,859"
Bilaxy,ATMI/ETH,"$261,458",EXC/ETH,"$254,386",VITE/ETH,"$230,699",QKC/ETH,"$215,090",ABL/ETH,"$179,648",ZP/ETH,"$175,924",ZCN/ETH,"$138,711",ESS/ETH,"$132,783",Seele/ETH,"$125,137",DAG/ETH,"$119,536"
